,name,sub,genre
119,새송 Saesong,270만,[키즈/어린이]
120,tvN,268만,[키즈/어린이]
121,카 로봇 Car & Robot,266만,[키즈/어린이]
122,ARTBEAT,265만,[키즈/어린이]
123,drawholic,264만,[키즈/어린이]
124,키즈팡TV,264만,[키즈/어린이]
125,유디티TV,262만,[키즈/어린이]
126,장삐쭈,260만,[키즈/어린이]
127,딩고 뮤직 / dingo music,260만,[키즈/어린이]
128,tzuyang쯔양,257만,[키즈/어린이]
129,imlisarhee,256만,[키즈/어린이]
130,(G)I-DLE (여자)아이들 (Official YouTube Channel),254만,[키즈/어린이]
131,PLAYLIST ORIGINALS 플레이리스트 오리지널,254만,[키즈/어린이]
132,ToyFamily,251만,[키즈/어린이]
133,도티 TV,251만,[키즈/어린이]
134,한세HANSE,250만,[키즈/어린이]
135,Thankyou BUBU,250만,[키즈/어린이]
136,옛드 : 옛날 드라마 [드라맛집],245만,[키즈/어린이]
137,헤이지니 Hey Jini,245만,[키즈/어린이]
138,창현거리노래방,239만,[키즈/어린이]
139,솔라시도 solarsido,238만,[키즈/어린이]
140,밴쯔,233만,[키즈/어린이]
141,나도Nado,231만,[키즈/어린이]
142,United CUBE (CUBE Entertainment Official YouTube Channel),230만,[키즈/어린이]
143,ASMR PPOMO,229만,[키즈/어린이]
144,총몇명,229만,[키즈/어린이]
145,RISABAE,226만,[키즈/어린이]
146,보라미 TV Borami TV,223만,[키즈/어린이]
147,와썹맨-Wassup Man,223만,[키즈/어린이]
148,GIRLS' GENERATION,220만,[키즈/어린이]
149,채널 십오야,220만,[키즈/어린이]
150,VIVA DANCE STUDIO,219만,[키즈/어린이]
151,또봇 V · 메탈리온 [Tobot V · Metalions],215만,[키즈/어린이]
152,꿀키honeykki,215만,[키즈/어린이]
153,MariAndFriends,215만,[키즈/어린이]
154,공대생 변승주 DS,215만,[키즈/어린이]
155,팬케이Pan K The Pancake Artist,212만,[키즈/어린이]
156,TREASURE (트레저),211만,[키즈/어린이]
157,JAY PARK,211만,[키즈/어린이]
158,JOLLY,210만,[키즈/어린이]
159,โหนกระแส (Hone-Krasae) Official,209만,[키즈/어린이]
160,tvN D ENT,209만,[키즈/어린이]
161,NCT 127,207만,[키즈/어린이]
162,흔한남매,207만,[키즈/어린이]
163,4Minute 포미닛(Official YouTube Channel),203만,[키즈/어린이]
164,자이언트 펭TV,202만,[키즈/어린이]
165,캐리TV,202만,[키즈/어린이]
166,퇴경아 약먹자,201만,[키즈/어린이]
167,Toy Wizard [토이위자드],200만,[키즈/어린이]
168,TV CHOSUN,199만,[키즈/어린이]
169,YTN news,197만,[키즈/어린이]
170,디바제시카DeevaJessica,196만,[키즈/어린이]
171,레이디버그TV,194만,[키즈/어린이]
172,The World of Dave데이브,193만,[키즈/어린이]
173,잠뜰 TV,192만,[키즈/어린이]
174,수리노을SuriNoel,190만,[키즈/어린이]
175,EXID_OFFICIAL,189만,[키즈/어린이]
176,뉴욕이랑 놀자,189만,[키즈/어린이]
177,런닝맨 - 스브스 공식 채널,188만,[키즈/어린이]
178,미니팡TV,188만,[키즈/어린이]
179,감스트GAMST,187만,[키즈/어린이]
180,tvN D STORY,184만,[키즈/어린이]
181,official IZ*ONE,183만,[키즈/어린이]
182,AKMU,182만,[키즈/어린이]
183,엔조이커플enjoycouple,182만,[키즈/어린이]
184,올리버쌤,181만,[키즈/어린이]
185,SBS ENTER PLAY,179만,[키즈/어린이]
186,5 분 Tricks,179만,[키즈/어린이]
187,꾹TV(Kkuk TV),179만,[키즈/어린이]
188,woolliment,178만,[키즈/어린이]
189,꼬마버스 타요,177만,[키즈/어린이]
190,CHEN,177만,[키즈/어린이]
191,대도서관TV (buzzbean11),177만,[키즈/어린이]
192,악동 김블루,177만,[키즈/어린이]
193,EBSDocumentary (EBS 다큐),175만,[키즈/어린이]
194,OfficialGDRAGON,175만,[키즈/어린이]
195,해그린달 haegreendal,174만,[키즈/어린이]
196,양띵 유튜브,173만,[키즈/어린이]
197,최고다윽박EUGBAK,173만,[키즈/어린이]
198,보물섬,173만,[키즈/어린이]
199,여자친구 GFRIEND OFFICIAL,172만,[키즈/어린이]
200,NCT DREAM,171만,[미분류]
201,JTBC Voyage,171만,[미분류]
202,SUPER JUNIOR,171만,[미분류]
203,더블비,170만,[미분류]
204,슈기님,170만,[미분류]
205,ASMR Suna 꿀꿀선아,169만,[미분류]
206,HONG SOUND,166만,[미분류]
207,김재원의 즐거운 세상,164만,[미분류]
208,Dollightful,163만,[미분류]
209,보길 bogil,163만,[미분류]
210,셀프어쿠스틱selfacoustic,163만,[미분류]
211,채널 NCT DANCE,161만,[미분류]
212,채널 NCT MUSIC,160만,[미분류]
213,밀키복이탄이MilkyBokiTan,160만,[미분류]
214,ssin 씬님,159만,[미분류]
215,BTOB 비투비 (Official YouTube Channel),155만,[미분류]
216,"토닥토닥 꼬모 - 애니메이션, 동요, 놀이",155만,[미분류]
217,Edu car toy school,154만,[미분류]
218,뜨뜨뜨뜨,154만,[미분류]
219,조재원,154만,[미분류]
220,Wishtrend TV,153만,[미분류]
221,밝은 면 Bright Side Korea,153만,[미분류]
222,태경 TV,153만,[미분류]
223,[wonderkids TV] 원더키즈 TV,152만,[미분류]
224,철구형 (CHULTUBE),152만,[미분류]
225,사나이 김기훈,152만,[미분류]
226,콬TV,152만,[미분류]
227,슈앤트리 SHU AND TREE,152만,[미분류]
228,ATEEZ,150만,[미분류]
229,[Nareum_TV] 나름TV,150만,[미분류]
230,엠브로 MBRO,149만,[미분류]
231,Leesuhyun,148만,[미분류]
232,브라보키즈_BRAVO KIDS,147만,[미분류]
233,DJ SODA OFFICIAL,146만,[미분류]
234,Imaginative Guy,146만,[미분류]
235,ITSub잇섭,146만,[미분류]
236,흥삼,146만,[미분류]
237,야미보이 Yummyboy,145만,[미분류]
238,International Couple[사샤와 제이],145만,[미분류]
239,Donam도남이먹방,144만,[미분류]
240,JerryPop,144만,[미분류]
241,OfficialLEEHI,143만,[미분류]
242,버블디아,143만,[미분류]
243,ARIKITCHEN (아리키친),143만,[미분류]
244,칩chip,142만,[미분류]
245,덕대-DD film,142만,[미분류]
246,SHINee,141만,[미분류]
247,입짧은햇님,141만,[미분류]
248,Allblanc TV,140만,[미분류]
249,JTBC News,140만,[미분류]
250,Solfa,140만,[미분류]
251,The Wiggles,139만,[미분류]
252,비몽,139만,[미분류]
253,급식왕,138만,[미분류]
254,K-Tigers TV,138만,[미분류]
255,채널A Home,137만,[미분류]
256,NU'EST,137만,[미분류]
257,지니키즈 Genikids (인기 동요・동화),137만,[미분류]
258,Aejeong ASMR 애정,136만,[미분류]
259,웃소 Wootso,136만,[미분류]
260,BEAST 비스트 (Official YouTube Channel),135만,[미분류]
261,NCT,134만,[미분류]
262,정선호,134만,[미분류]
263,lamuqe,133만,[미분류]
264,딩고 스토리 / dingo story,133만,[미분류]
265,DAY6,132만,[미분류]
266,내셔널지오그래픽 - National Geographic Korea,132만,[미분류]
267,뉴욕이랑 브이로그,131만,[미분류]
268,NALU,131만,[미분류]
269,dingo freestyle,131만,[미분류]
270,박막례 할머니 Korea Grandma,131만,[미분류]
271,MLD ENTERTAINMENT,130만,[미분류]
272,AOA (에이오에이),130만,[미분류]
273,SPOTV,130만,[미분류]
274,신의한수,129만,[미분류]
275,턱형 (GOD-TUK),128만,[미분류]
276,ZOEY ASMR 조이,127만,[미분류]
277,BLACKHAND,127만,[미분류]
278,악어 유튜브,127만,[미분류]
279,EBSCulture (EBS 교양),126만,[미분류]
280,The K-POP,126만,[미분류]
281,조효진 HYOJIN,126만,[미분류]
282,SBS Catch,125만,[미분류]
283,RealVIXX,125만,[미분류]
284,탱구TV,125만,[미분류]
285,Shoot for Love 슛포러브,125만,[미분류]
286,Chuther츄더[문에스더],124만,[미분류]
287,Apink (에이핑크),124만,[미분류]
288,Daily Busking,124만,[미분류]
289,STUDIO CHOOM [스튜디오 춤],123만,[미분류]
290,KBS 한국방송,122만,[미분류]
291,Boys Playtime,122만,[미분류]
292,스윗더미 . Sweet The MI,122만,[미분류]
293,KBS Drama Classic,121만,[미분류]
294,PENTAGON 펜타곤 (Official YouTube Channel),121만,[미분류]
295,산적TV 밥굽남,121만,[미분류]
296,재넌Jaenune,121만,[미분류]
297,헬로카봇 - hello carbot official,121만,[미분류]
298,애주가TV참PD,120만,[미분류]
299,수상한녀석들,120만,[미분류]
300,다또아Daddoa,119만,[패션/미용]
301,회사원A,119만,[패션/미용]
302,JAYKEEOUT x VWVB,119만,[패션/미용]
303,PLAYY ANI 플레이애니,118만,[패션/미용]
304,동네놈들,118만,[패션/미용]
305,Dingo K-Beauty,118만,[패션/미용]
306,Mera,118만,[패션/미용]
307,DICKHUNTER딕헌터🌶,118만,[패션/미용]
308,피키픽처스 Piki Pictures,118만,[패션/미용]
309,KBS HUMAN: 뭉클티비,117만,[패션/미용]
310,MKTV 김미경TV,117만,[패션/미용]
311,Lia Kim,117만,[패션/미용]
312,FoodieBoy 푸디보이,117만,[패션/미용]
313,DOJIN도진이,116만,[패션/미용]
314,사람사는세상노무현재단,116만,[패션/미용]
315,CJ ENM,115만,[패션/미용]
316,사물궁이 잡학지식,115만,[패션/미용]
317,꽈뚜룹 Quaddurup,115만,[패션/미용]
318,티디키즈 by 지니키즈,114만,[패션/미용]
319,T1 Faker,114만,[패션/미용]
320,FNCEnt,114만,[패션/미용]
321,"안구정화TV, Your Korean Friend",114만,[패션/미용]
322,강형욱의 보듬TV - Dog Trainer Kang,114만,[패션/미용]
323,성수커플 - S.S Couple,114만,[패션/미용]
324,지무비 : G Movie,114만,[패션/미용]
325,디스커버리 서바이벌 - Discovery Survival,113만,[패션/미용]
326,Lemoring,112만,[패션/미용]
327,섭이는못말려,112만,[패션/미용]
328,loonatheworld,111만,[패션/미용]
329,고몽,111만,[패션/미용]
330,GENIE MUSIC,111만,[패션/미용]
331,테스터훈 TesterHoon,111만,[패션/미용]
332,Prepix Dance Studio,110만,[패션/미용]
333,UPVOTE Entertainment,109만,[패션/미용]
334,신세경 sjkuksee,108만,[패션/미용]
335,신세경 sjkuksee,108만,[패션/미용]
336,미니카 Minicar,108만,[패션/미용]
337,빅마블,108만,[패션/미용]
338,휘트니 whitney bae,108만,[패션/미용]
339,츄팝,108만,[패션/미용]
340,티캐스트 tcast,107만,[패션/미용]
341,캐릭온 TV,107만,[패션/미용]
342,파뿌리,107만,[패션/미용]
343,Sibongtv 시봉tv,107만,[패션/미용]
344,소근커플 S.K.Couple,107만,[패션/미용]
345,얌무YAMMoo,106만,[패션/미용]
346,Cheri Hyeri 체리 혜리,106만,[패션/미용]
347,마이린 TV,105만,[패션/미용]
348,official A.C.E,105만,[패션/미용]
349,SOF,104만,[패션/미용]
350,우왁굳의 게임방송,104만,[패션/미용]
351,릴카,104만,[패션/미용]
352,핫도그TV,104만,[패션/미용]
353,유정호tv,103만,[패션/미용]
354,Tooniverse-투니버스,103만,[패션/미용]
355,써니채널 Sunny's Channel,103만,[패션/미용]
356,맛있는 녀석들 (Tasty Guys),103만,[패션/미용]
357,깨비키즈 [KEBIKIDS],103만,[패션/미용]
358,HANA 김하나,103만,[패션/미용]
359,tvN D CLASSIC,102만,[패션/미용]
360,워너뮤직코리아 (Warner Music Korea),102만,[패션/미용]
361,ondo온도,102만,[패션/미용]
362,공부의신 강성태,102만,[패션/미용]
363,겜브링 GGAM BRING,102만,[패션/미용]
364,야식이,101만,[패션/미용]
365,신사임당,101만,[패션/미용]
366,MBN Entertainment,101만,[패션/미용]
367,sankok esl,101만,[패션/미용]
368,SBS 뉴스,101만,[패션/미용]
369,진성호방송,101만,[패션/미용]
370,야식이,101만,[패션/미용]
371,ETTV 이티티비,100만,[패션/미용]
372,2pm,100만,[패션/미용]
373,세바시 강연 Sebasi Talk,100만,[패션/미용]
374,SBS STORY,99만,[패션/미용]
375,Dingo K-Drama,99만,[패션/미용]
376,효기심,99만,[패션/미용]
377,ColorMonsters Toy,99만,[패션/미용]
378,킴성태TV,99만,[패션/미용]
379,SK telecom,99만,[패션/미용]
380,코이티비KOITV,99만,[패션/미용]
381,(MUTUBE)와꾸대장봉준,99만,[패션/미용]
382,딩고 / dingo,98만,[패션/미용]
383,우주하마,98만,[패션/미용]
384,크집사,98만,[패션/미용]
385,rappeler하쁠리,98만,[패션/미용]
386,테드TV,97만,[패션/미용]
387,ONEUS,97만,[패션/미용]
388,쁘허,96만,[패션/미용]
389,KBS News,96만,[패션/미용]
390,김시선,96만,[패션/미용]
391,지현꿍,96만,[패션/미용]
392,PLEDIS ENTERTAINMENT,96만,[패션/미용]
393,기리TV,96만,[패션/미용]
394,YGTAEYANG,96만,[패션/미용]
395,텔론,96만,[패션/미용]
396,Talk To Me In Korean,96만,[패션/미용]
397,A-YEON,95만,[패션/미용]
398,윤쨔미 YoonCharmi,95만,[패션/미용]
399,유병재,95만,[패션/미용]
400,JoyKids,95만,[키즈/어린이]
401,eaJ,95만,[키즈/어린이]
402,MOVE Dance Studio 무브댄스학원,94만,[키즈/어린이]
403,채널A 뉴스,94만,[키즈/어린이]
