,name,sub,genre
121,PLAYERUNKNOWN'S BATTLEGROUNDS,"1,990,000",게임
122,진용진,"1,980,000",인물/유명인
123,레이디버그TV,"1,980,000",영화/애니메이션
124,디바제시카DeevaJessica,"1,970,000",인물/유명인
125,엔조이커플enjoycouple,"1,950,000",인물/유명인
126,수리노을SuriNoel,"1,950,000",동물/펫
127,감스트GAMST,"1,930,000",게임
128,The World of Dave데이브,"1,930,000",엔터테인먼트
129,잠뜰 TV,"1,930,000",게임
130,뉴욕이랑 놀자,"1,890,000",키즈
131,MINEE EATS,"1,880,000",푸드/쿠킹
132,JEKS Coreana,"1,830,000",교육/강의
133,올리버쌤,"1,800,000",교육/강의
134,꾹TV(Kkuk TV),"1,790,000",키즈
135,최고다윽박EUGBAK,"1,770,000",엔터테인먼트
136,악동 김블루,"1,770,000",게임
137,대도서관TV (buzzbean11),"1,740,000",게임
138,양띵 유튜브,"1,720,000",게임
139,보물섬,"1,720,000",엔터테인먼트
140,ASMR Suna 꿀꿀선아,"1,720,000",인물/유명인
141,슈기님,"1,700,000",푸드/쿠킹
142,셀프어쿠스틱selfacoustic,"1,670,000",영화/애니메이션
143,International Couple[사샤와 제이],"1,670,000",인물/유명인
144,더블비,"1,660,000",엔터테인먼트
145,HONG SOUND,"1,660,000",취미
146,김재원의 즐거운 세상,"1,620,000",게임
147,[토이팩토리] ToyFactory(장난감TV),"1,600,000",키즈
148,heyitsfeiii,"1,600,000",뷰티/패션
149,사나이 김기훈,"1,590,000",엔터테인먼트
150,ssin 씬님,"1,570,000",뷰티/패션
151,밝은 면 Bright Side Korea,"1,570,000",교육/강의
152,흥삼,"1,570,000",푸드/쿠킹
153,Donam도남이먹방,"1,560,000",푸드/쿠킹
154,Edward Avila,"1,560,000",인물/유명인
155,Wishtrend TV,"1,560,000",뷰티/패션
156,"토닥토닥 꼬모 - 애니메이션, 동요, 놀이","1,560,000",키즈
157,ITSub잇섭,"1,550,000",IT/기술/과학
158,조재원,"1,550,000",엔터테인먼트
159,슈앤트리 SHU AND TREE,"1,550,000",동물/펫
160,철구형 (CHULTUBE),"1,530,000",엔터테인먼트
161,콬TV,"1,520,000",엔터테인먼트
162,태경 TV,"1,520,000",게임
163,Imaginative Guy,"1,510,000",취미
164,STUDIO CHOOM [스튜디오 춤],"1,500,000",음악/댄스
165,입짧은햇님,"1,500,000",푸드/쿠킹
166,JerryPop,"1,490,000",푸드/쿠킹
167,엠브로 MBRO,"1,470,000",푸드/쿠킹
168,브라보키즈_BRAVO KIDS,"1,470,000",키즈
169,Allblanc TV,"1,470,000",스포츠
170,[Nareum_TV] 나름TV,"1,470,000",푸드/쿠킹
171,JTBC News,"1,440,000",뉴스/정치/이슈
172,ARIKITCHEN (아리키친),"1,440,000",푸드/쿠킹
173,버블디아,"1,440,000",음악/댄스
174,내셔널지오그래픽 - National Geographic Korea,"1,420,000",교육/강의
175,덕대-DD film,"1,420,000",키즈
176,Solfa,"1,410,000",엔터테인먼트
177,웃소 Wootso,"1,390,000",엔터테인먼트
178,칩chip,"1,380,000",푸드/쿠킹
179,dingo freestyle,"1,380,000",엔터테인먼트
180,K-Tigers TV,"1,380,000",음악/댄스
181,지니키즈 Genikids (인기 동요・동화),"1,370,000",키즈
182,급식왕,"1,360,000",엔터테인먼트
183,정선호,"1,330,000",인물/유명인
184,딩고 스토리 / dingo story,"1,320,000",엔터테인먼트
185,lamuqe,"1,320,000",뷰티/패션
186,NALU,"1,320,000",라이프스타일
187,신의한수,"1,310,000",뉴스/정치/이슈
188,국가비 GabieKook,"1,300,000",푸드/쿠킹
189,Daily Busking,"1,300,000",음악/댄스
190,박막례 할머니 Korea Grandma,"1,300,000",인물/유명인
191,BLACKHAND,"1,280,000",엔터테인먼트
192,산적TV 밥굽남,"1,280,000",푸드/쿠킹
193,조효진 HYOJIN,"1,270,000",뷰티/패션
194,턱형 (GOD-TUK),"1,260,000",엔터테인먼트
195,악어 유튜브,"1,260,000",게임
196,曼食慢语 Amanda Tastes,"1,260,000",푸드/쿠킹
197,탱구TV,"1,260,000",여행/아웃도어
198,JREKML,"1,250,000",음악/댄스
199,sandy mandy,"1,250,000",음악/댄스
200,꽈뚜룹,"1,240,000",엔터테인먼트
201,FoodieBoy 푸디보이,"1,240,000",푸드/쿠킹
202,Shoot for Love 슛포러브,"1,240,000",스포츠
203,JAYKEEOUT x VWVB,"1,230,000",엔터테인먼트
204,Mera,"1,220,000",엔터테인먼트
205,지무비 : G Movie,"1,220,000",영화/애니메이션
206,"안구정화TV, Your Korean Friend","1,220,000",라이프스타일
207,스윗더미 . Sweet The MI,"1,220,000",푸드/쿠킹
208,강형욱의 보듬TV - Dog Trainer Kang,"1,210,000",동물/펫
209,헬로카봇 - hello carbot official,"1,210,000",키즈
210,피키픽처스 Piki Pictures,"1,200,000",엔터테인먼트
211,동네놈들,"1,200,000",엔터테인먼트
212,DICKHUNTER딕헌터🌶,"1,190,000",엔터테인먼트
213,재넌Jaenune,"1,190,000",게임
214,수상한녀석들,"1,190,000",엔터테인먼트
215,회사원A,"1,180,000",뷰티/패션
216,다또아Daddoa,"1,180,000",뷰티/패션
217,Lia Kim,"1,180,000",엔터테인먼트
218,MochaMilk,"1,180,000",동물/펫
219,애주가TV참PD,"1,170,000",푸드/쿠킹
220,사람사는세상노무현재단,"1,170,000",뉴스/정치/이슈
221,LULUPANG 루루팡,"1,170,000",뷰티/패션
222,고몽,"1,150,000",영화/애니메이션
223,Yoora Jung,"1,140,000",인물/유명인
224,GENIE MUSIC,"1,130,000",음악/댄스
225,성수커플 - S.S Couple,"1,130,000",인물/유명인
226,테스터훈 TesterHoon,"1,120,000",게임
227,Liah Yoo,"1,120,000",뷰티/패션
228,신사임당,"1,120,000",교육/강의
229,섭이는못말려,"1,110,000",엔터테인먼트
230,진성호방송,"1,100,000",뉴스/정치/이슈
231,소련여자 Soviet girl in Seoul,"1,100,000",인물/유명인
232,파뿌리,"1,100,000",푸드/쿠킹
233,휘트니 whitney bae,"1,100,000",라이프스타일
234,승우아빠,"1,090,000",푸드/쿠킹
235,official A.C.E,"1,090,000",음악/댄스
236,우왁굳의 게임방송,"1,090,000",게임
237,UPVOTE Entertainment,"1,090,000",음악/댄스
238,캐릭온 TV,"1,080,000",키즈
239,Cheri Hyeri 체리 혜리,"1,070,000",인물/유명인
240,츄팝,"1,070,000",취미
241,빅마블,"1,070,000",음악/댄스
242,Sibongtv 시봉tv,"1,070,000",인물/유명인
243,핫도그TV,"1,070,000",푸드/쿠킹
244,맛있는 녀석들 (Tasty Guys),"1,070,000",푸드/쿠킹
245,릴카,"1,060,000",인물/유명인
246,얌무YAMMoo,"1,060,000",푸드/쿠킹
247,세바시 강연 Sebasi Talk,"1,060,000",교육/강의
248,소근커플 S.K.Couple,"1,060,000",인물/유명인
249,마이린 TV,"1,050,000",키즈
250,토이스페이스ToySpace - Game Vlogs,"1,050,000",키즈
251,Korean Unnie 한국언니,"1,050,000",라이프스타일
252,[상윤쓰]Sangyoon,"1,050,000",푸드/쿠킹
253,크집사,"1,030,000",동물/펫
254,깨비키즈 [KEBIKIDS],"1,030,000",키즈
255,야식이,"1,030,000",푸드/쿠킹
256,써니채널 Sunny's Channel,"1,020,000",뷰티/패션
257,(MUTUBE)와꾸대장봉준,"1,020,000",엔터테인먼트
258,겜브링 GGAM BRING,"1,020,000",게임
259,공부의신 강성태,"1,020,000",교육/강의
260,SOF,"1,020,000",푸드/쿠킹
261,HANA 김하나,"1,010,000",엔터테인먼트
262,rappeler하쁠리,"1,010,000",취미
263,오킹TV,"1,010,000",엔터테인먼트
264,김시선,"1,010,000",영화/애니메이션
265,킴성태TV,"1,010,000",게임
266,효기심,"1,000,000",취미
267,코이티비KOITV,"1,000,000",뷰티/패션
268,Talk To Me In Korean,"1,000,000",교육/강의
269,MOVE Dance Studio 무브댄스학원,"1,000,000",음악/댄스
270,ColorMonsters Toy,"992,000",취미
271,딩고 / dingo,"992,000",엔터테인먼트
272,쁘허,"978,000",영화/애니메이션
273,기리TV,"973,000",게임
274,테드TV,"968,000",게임
275,Squash Clay 쪼물쪼물 클레이,"965,000",취미
276,jannahkorea 잔나코리아,"961,000",교육/강의
277,영알남YAN,"959,000",교육/강의
278,텔론,"957,000",게임
279,TBS 시민의방송,"955,000",뉴스/정치/이슈
280,아내의 식탁 Wife's Cuisine,"954,000",푸드/쿠킹
281,haha ha,"951,000",동물/펫
282,마재TV,"946,000",게임
283,윤쨔미 YoonCharmi,"945,000",뷰티/패션
284,취미로 요리하는 남자 Yonam,"944,000",푸드/쿠킹
285,양띵의 사생활,"940,000",라이프스타일
286,TV램램,"939,000",게임
287,슈카월드,"938,000",경제/금융/재테크
288,법륜스님의 즉문즉설,"936,000",교육/강의
289,비디오머그 - VIDEOMUG,"933,000",뉴스/정치/이슈
290,유준호,"930,000",엔터테인먼트
291,밍꼬발랄Mingggo,"921,000",엔터테인먼트
292,유라야놀자(Let's play YURA),"920,000",키즈
293,김이브님 [kim eve],"919,000",엔터테인먼트
294,드림텔러(DreamTeller),"915,000",영화/애니메이션
295,띠미 ddimmi,"914,000",인물/유명인
296,SUPER SOUND Bugs!,"913,000",음악/댄스
297,남순 NS,"911,000",엔터테인먼트
298,코너Korner,"909,000",엔터테인먼트
299,일반인들의 소름돋는 라이브 / Best covers,"901,000",음악/댄스
300,배꼽빌라,"900,000",엔터테인먼트
301,[THE SOY]루퐁이네,"898,000",동물/펫
302,이슈텔러 issueTeller,"896,000",엔터테인먼트
303,제이제이살롱드핏,"895,000",라이프스타일
304,오분순삭,"887,000",엔터테인먼트
305,B Man 삐맨,"886,000",영화/애니메이션
306,U.M.A.우마,"885,000",엔터테인먼트
307,Togimochi Koreaとぎもち 토기모치,"883,000",푸드/쿠킹
308,연다,"881,000",게임
309,소녀의행성 Girlsplanet,"880,000",동물/펫
310,울산큰고래 박성주,"872,000",게임
311,달려라치킨 Dalchi,"869,000",인물/유명인
312,삼대장 Samdaejang,"867,000",엔터테인먼트
313,14F 일사에프,"866,000",뉴스/정치/이슈
314,heekkong희꽁,"862,000",취미
315,달빛뮤즈,"860,000",영화/애니메이션
316,수빙수tv sooBingsoo,"859,000",푸드/쿠킹
317,말왕TV,"858,000",스포츠
318,디렉터 파이,"858,000",뷰티/패션
319,군림보,"857,000",게임
320,체인지 그라운드,"850,000",교육/강의
321,정브르,"849,000",동물/펫
322,삼프로TV_경제의신과함께,"841,000",교육/강의
323,머독방송,"841,000",게임
324,ALiEN,"839,000",음악/댄스
325,뽐뽐뽐,"834,000",인물/유명인
326,잉여맨 유튜브,"833,000",게임
327,Saerom Min개코의 오픈스튜디오,"831,000",뷰티/패션
328,한예슬 is,"827,000",인물/유명인
329,쿠쿠크루 - Cuckoo Crew,"825,000",엔터테인먼트
330,SUNBA선바,"825,000",엔터테인먼트
331,뚜아뚜지TV,"824,000",키즈
332,Jella젤라,"817,000",뷰티/패션
333,한별Hanbyul,"816,000",뷰티/패션
334,Jenny Yun,"815,000",음악/댄스
335,Bandung Oppa 반둥오빠,"815,000",라이프스타일
336,areumsongee아름송이,"814,000",뷰티/패션
337,kiu기우쌤,"813,000",뷰티/패션
338,StimBoy스팀보이,"812,000",인물/유명인
339,토깽이네,"808,000",키즈
340,딴지방송국,"802,000",뉴스/정치/이슈
341,STUDIO DIA 스튜디오 다이아,"802,000",엔터테인먼트
342,액션홍구,"798,000",게임
343,공대생가족 GDSF,"798,000",엔터테인먼트
344,먹어볼래TryToEat,"797,000",푸드/쿠킹
345,Mẹo Vặt Cắm Hoa,"797,000",취미
346,Megan Bowen,"795,000",엔터테인먼트
347,Kim Miso,"792,000",라이프스타일
348,UNA 유나,"792,000",뷰티/패션
349,침착맨,"792,000",게임
350,조승연의 탐구생활,"786,000",교육/강의
351,약사가 들려주는 약 이야기,"784,000",교육/강의
352,라이브 아카데미,"781,000",교육/강의
353,압둘알리과로사,"780,000",게임
354,빨강도깨비,"780,000",영화/애니메이션
355,리아루아 LIALUA,"777,000",키즈
356,외질혜 (OzilTube),"775,000",엔터테인먼트
357,스푸닝 Spooning Korean Talk,"773,000",엔터테인먼트
358,윰댕(yum-cast),"771,000",인물/유명인
359,Mimine Miniature 미미네 미니어쳐,"762,000",취미
360,임한올 Hanol Rim,"757,000",인물/유명인
361,김왼팔,"748,000",게임
362,yeondukong 연두콩,"747,000",뷰티/패션
363,러너꽃빈TV,"745,000",게임
364,대륙남TV [clark tv],"743,000",라이프스타일
365,sunnydahye,"743,000",뷰티/패션
366,POWER MOVIE,"740,000",엔터테인먼트
367,1분과학,"739,000",IT/기술/과학
368,케이,"737,000",인물/유명인
369,써리의 영상툰 SSULY TOON,"736,000",영화/애니메이션
370,9bul,"734,000",영화/애니메이션
371,집꾸미기,"730,000",라이프스타일
372,돼지저금통,"730,000",게임
373,헤이즐 Heizle,"728,000",뷰티/패션
374,속삭이는몽자,"717,000",동물/펫
375,에바EVA,"706,000",뷰티/패션
376,난쟁이성현,"704,000",엔터테인먼트
377,z a m,"704,000",엔터테인먼트
378,지호토이TV JIHOTOY,"702,000",키즈
379,슈스스TV,"701,000",뷰티/패션
380,DKDKTV,"698,000",음악/댄스
381,DanoTV,"698,000",라이프스타일
382,밀라논나 Milanonna,"695,000",뷰티/패션
383,강유미 yumi kang좋아서 하는 채널,"694,000",인물/유명인
384,Yoo's Beauty 희주,"693,000",뷰티/패션
385,가르마[GARMA],"691,000",푸드/쿠킹
386,SISSEL,"685,000",인물/유명인
387,LENA,"685,000",뷰티/패션
388,권회훈,"683,000",푸드/쿠킹
389,배승희 변호사,"683,000",뉴스/정치/이슈
390,Travel Tube,"680,000",뉴스/정치/이슈
391,간니닌니 다이어리,"679,000",키즈
392,강 지,"674,000",게임
393,로즈하ROSEHA,"672,000",뷰티/패션
394,하얀트리HayanTree,"669,000",푸드/쿠킹
395,Ha Neul오늘의 하늘,"669,000",뷰티/패션
396,다흑님,"668,000",동물/펫
397,레바스튜디오,"665,000",영화/애니메이션
398,박대세 PDS,"665,000",엔터테인먼트
399,옛능 : MBC 옛날 예능 다시보기,"664,000",엔터테인먼트
400,뿌직PPUJIG,"661,000",키즈
401,애니한TV AnnieHan,"661,000",키즈
402,TongTongTv 통통컬처,"660,000",엔터테인먼트
403,미니미니 MiniMini,"658,000",취미
404,시리TV Shili,"655,000",라이프스타일
405,JK 아트사커 온라인,"653,000",스포츠
406,서담SEODAM,"652,000",푸드/쿠킹
407,제이제이,"651,000",엔터테인먼트
408,김태우TV,"649,000",뉴스/정치/이슈
409,뻑가 PPKKa,"648,000",뉴스/정치/이슈
410,여정을떠난여정,"648,000",엔터테인먼트
411,Dorami,"647,000",게임
412,방가네,"647,000",인물/유명인
413,SIMI TV,"646,000",엔터테인먼트
414,SomiFit 소미핏,"645,000",스포츠
415,이슈왕 TV,"645,000",뉴스/정치/이슈
416,펜앤드마이크TV,"645,000",뉴스/정치/이슈
417,잼스터,"644,000",엔터테인먼트
418,깨박이,"643,000",게임
419,smile -wA-,"642,000",엔터테인먼트
420,씨그널V [ Signal V ],"641,000",엔터테인먼트
421,모비딕 Mobidic,"638,000",엔터테인먼트
422,닥터프렌즈,"638,000",교육/강의
423,Dear.Jérry 제리,"636,000",뷰티/패션
424,로이조 TV,"636,000",게임
425,탁주 TV,"634,000",게임
426,코아 TV,"633,000",게임
427,고기남자 MeatMan,"631,000",푸드/쿠킹
428,THE J,"631,000",교육/강의
429,새벽,"630,000",뷰티/패션
430,삼식,"629,000",게임
431,랭킹스쿨 Ranking School,"626,000",엔터테인먼트
432,TV대정령,"626,000",게임
433,입시덕후,"626,000",교육/강의
434,긱블 Geekble,"624,000",취미
435,Soy ASMR,"623,000",취미
436,GCL 지씨엘,"621,000",게임
437,강민경,"620,000",인물/유명인
438,영기티비,"619,000",인물/유명인
439,시바견 곰이탱이여우,"618,000",동물/펫
440,퀸톨 TV,"616,000",게임
441,엣지님,"615,000",인물/유명인
442,Charming Jo 조매력,"614,000",엔터테인먼트
